AC#_BAC_well/plate:type	Chromosome assignment (Timoshevskiy et al. 2014)	Band assignment (Timoshevskiy et al. 2014)	AaegL2 scaffold	Position in AaegL2 scaffold	Position in AaegL2 scaffold
CC143666_NDL.072H24:SP6	chr3	3p22	CH477202.1	976581	976581
CC116855_NDL.083J16:T7	chr3	3p21	CH477435.1	139327	139327
CC116852_NDL.083J16:SP6	chr3	3p21	CH477435.1	38284	38284
CC865373_NDL.100C17:T7	chr3	3p14	CH477234.1	1614430	1614430
CC865368_NDL.100C17:SP6	chr3	3p14	CH477234.1	1528374	1528374
CC126391_NDL.024I4:T7	chr3	3p14	CH477290.1	1007143	1007143
CC126387_NDL.024I4:SP6	chr3	3p14	CH477290.1	1142702	1142702
CC118219_NDL.001A8:T7	chr3	3p14	CH477349.1	1835319	1835319
CC118217_NDL.001A8:SP6	chr3	3p14	CH477349.1	1753213	1753213
CC136998_NDL.059N15:T7	chr3	3p14	CH477349.1	1796987	1796987
CC136993_NDL.059N15:SP6	chr3	3p14	CH477740.1	75652	75652
CC140766_NDL.014J19:T7	chr3	3p14	CH477364.1	1560425	1560425
CC126570_NDL.037J1:T7	chr3	3p14	CH477369.1	345438	345438
CC126564_NDL.037J1:SP6	chr3	3p14	CH477369.1	425943	425943
CC137246_NDL.081B14:T7	chr3	3p14	CH477379.1	1476207	1476207
CC137245_NDL.081B14:SP6	chr3	3p14	CH477379.1	1564164	1564164
CC124711_NDL.083O15:T7	chr3	3p14	CH477461.1	680292	680292
CC124706_NDL.083O15:SP6	chr3	3p14	CH477461.1	765580	765580
CC107065_NDL.046G23:T7	chr3	3p13	CH477234.1	2026273	2026273
CC107060_NDL.046G23:SP6	chr3	3p13	CH477234.1	2146399	2146399
CC865034_NDL.100B18:T7	chr3	3p13	CH477234.1	1956259	1956259
CC865030_NDL.100B18:SP6	chr3	3p13	CH477234.1	2052338	2052338
CC870336_NDL.117I16:T7	chr3	3p13	CH477276.1	337952	337952
CC873985_NDL.117I16:SP6	chr3	3p13	CH477276.1	231171	231171
CC122925_NDL.070K2:T7	chr3	3p13	CH477290.1	1594051	1594051
CC122917_NDL.070K2:SP6	chr3	3p13	CH477290.1	1669184	1669184
CC131654_NDL.032C18:T7	chr3	3p13	CH477369.1	369116	369116
CC131651_NDL.032C18:SP6	chr3	3p13	CH477369.1	276141	276141
CC107231_NDL.023F5:T7	chr3	3p13	CH477416.1	1239537	1239537
CC107225_NDL.023F5:SP6	chr3	3p13	CH477416.1	1147843	1147843
CC866125_NDL.033M5:T7	chr3	3p12	CH477193.1	1214117	1214117
CC866020_NDL.033M5:SP6	chr3	3p12	CH477193.1	1317553	1317553
CC129844_NDL.016M12:T7	chr3	3p12	CH477432.1	1413547	1413547
CC129839_NDL.016M12:SP6	chr3	3p12	CH477432.1	1546422	1546422
CC855646_NDL.002E21:T7	chr3	3p12	CH477561.1	394108	394108
CC855641_NDL.002E21:SP6	chr3	3p12	CH477561.1	277679	277679
CC844144_NDL.127G11:SP6	chr3	3p11	CH477193.1	226706	226706
CC117193_NDL.072A2:T7	chr3	3p11	CH477432.1	807583	807583
CC117188_NDL.072A2:SP6	chr3	3p11	CH477432.1	945632	945632
CC862564_NDL.055H21:T7	chr3	3p11	CH477485.1	1356948	1356948
CC860773_NDL.055H21:SP6	chr3	3p11	CH477432.1	1546164	1546164
CC855085_NDL.112J9:T7	chr3	3q11	CH477188.1	4224841	4224841
CC855079_NDL.112J9:SP6	chr3	3q11	CH477188.1	4135266	4135266
CC855909_NDL.132B17:T7	chr3	3q11	CH477803.1	108725	108725
CC855903_NDL.132B17:SP6	chr3	3q11	CH477803.1	195519	195519
CC121288_NDL.53G12:T7	chr3	3q11	CH477196.1	4502507	4502507
CC121282_NDL.53G12:SP6	chr3	3q11	CH477196.1	4402567	4402567
CC134001_NDL.034A20:T7	chr3	3q11	CH477304.1	519724	519724
CC133996_NDL.034A20:SP6	chr3	3q11	CH477304.1	606918	606918
CC138810_NDL.095F13:SP6	chr3	3q11	CH477304.1	579236	579236
CC844161_NDL.056I6:T7	chr3	3q11	CH477356.1	1675049	1675049
CC844160_NDL.056I6:SP6	chr3	3q11	CH477356.1	1575582	1575582
CC129101_NDL.005F19:T7	chr3	3q11	CH477951.1	361729	361729
BM005488_(LF103)_NDL.005F19:GM	chr3	3q11	CH477951.1	388230	388230
CC135541_NDL.005F19:SP6	chr3	3q11	CH477951.1	453151	453151
CC844150_NDL.127G11:T7	chr3	3p11	CH477193.1	338622	338622
CC113575_NDL.040A11:T7	chr3	3q12	CH477188.1	1749191	1749191
CC113570_NDL.040A11:SP6	chr3	3q12	CH477188.1	1857898	1857898
CC125692_NDL.093L24:T7	chr3	3q12	CH477188.1	2645609	2645609
CC125688_NDL.093L24:SP6	chr3	3q12	CH477188.1	2763867	2763867
CC124936_NDL.009K4:T7	chr3	3q12	CH477193.1	594445	594445
CC873307_NDL.122G17:T7	chr3	3q12	CH477254.1	142894	142894
R47184_(LF168)_NDL.122G17:GM	chr3	3q12	CH477254.1	180324	180324
CC873303_NDL.122G17:SP6	chr3	3q12	CH477254.1	200044	200044
CC113750_NDL.023A10:T7	chr3	3q12	CH477321.1	1508164	1508164
CC113742_NDL.023A10:SP6	chr3	3q12	CH477321.1	1421189	1421189
CC118529_NDL.072F16:T7	chr3	3q12	CH477321.1	1502649	1502649
CC139997_NDL.043A19:T7	chr3	3q12	CH477362.1	1412776	1412776
CC139992_NDL.043A19:SP6	chr3	3q12	CH477362.1	1496320	1496320
CC138781_NDL.078N12:T7	chr3	3q12* multiple signals	CH477275.1	2493203	2493203
CC138775_NDL.078N12:SP6	chr3	3q12* multiple signals	CH477275.1	2590135	2590135
CC115186_NDL.066K5:T7	chr3	3q13	CH477246.1	1595734	1595734
CC859792_NDL.132P2:T7	chr3	3q13	CH477339.1	1909209	1909209
CC859791_NDL.132P2:SP6	chr3	3q13	CH477339.1	1813139	1813139
CC121915_NDL.019M24:T7	chr3	3q13	CH477388.1	288681	288681
CC121912_NDL.019M24:SP6	chr3	3q13	CH477388.1	363109	363109
BH214530_(a12)_NDL.057G20:GM	chr3	3q13	CH477391.1	1190325	1190325
CC854857_NDL.044J23:T7	chr3	3q13	CH477506.1	467242	467242
CC854853_NDL.044J23:SP6	chr3	3q13	CH477506.1	675899	675899
CC123559_NDL.023D9:T7	chr3	3q14	CH477201.1	1504998	1504998
CC123552_NDL.023D9:SP6	chr3	3q14	CH477201.1	1624341	1624341
CC123692_NDL.060N15:T7	chr3	3q14	CH477246.1	1524631	1524631
CC123689_NDL.060N15:SP6	chr3	3q14	CH477246.1	1406756	1406756
CC110496_NDL.009H21:T7	chr3	3q14	CH477254.1	354357	354357
CC110491_NDL.009H21:SP6	chr3	3q14	CH477254.1	245399	245399
CC118171_NDL.035P22:T7	chr3	3q14	CH477277.1	79620	79620
CC123604_NDL.028K9:T7	chr3	3q14	CH477387.1	1771492	1771492
CC123598_NDL.028K9:SP6	chr3	3q14	CH477367.1	1136664	1136664
CC874663_NDL.118P5:T7	chr3	3q14	CH477367.1	1119573	1119573
CC874659_NDL.118P5:SP6	chr3	3q14	CH477367.1	945313	945313
CC116071_NDL.009L15:T7	chr3	3q21	CH477316.1	1183242	1183242
CC116065_NDL.009L15:SP6	chr3	3q21	CH477316.1	1277882	1277882
CC852645_NDL.062A13:T7	chr3	3q22	CH477224.1	202627	202627
CC852640_NDL.062A13:SP6	chr3	3q22	CH477224.1	114956	114956
CC119573_NDL.051I12:T7	chr3	3q22	CH477316.1	1951009	1951009
CC119567_NDL.051I12:SP6	chr3	3q22	CH477316.1	2016912	2016912
CC859722_NDL.132I16:T7	chr3	3q22	CH477691.1	28415	28415
T58322_(LF108)_NDL.132I16:GM	chr3	3q22	CH477691.1	145371	145371
CC859720_NDL.132I16:SP6	chr3	3q22	CH477691.1	171064	171064
CC143271_NDL.092K4:T7	chr3	3q23	CH477422.1	1098055	1098055
CC143266_NDL.092K4:SP6	chr3	3q23	CH477422.1	1011267	1011267
CC849160_NDL.055J21:T7	chr3	3q23	CH478204.1	130101	130101
CC853835_NDL.055J21:SP6	chr3	3q23	CH477488.1	143355	143355
CC856631_NDL.041O14:SP6	chr3	3q23	CH477494.1	419041	419041
BM378052_(LF261)_NDL.047B12:GM	chr3	3q23	CH478086.1	293963	293963
CC140361_NDL.007M11:T7	chr3	3q24	CH477374.1	36769	36769
CC140356_NDL.007M11:SP6	chr3	3q24	CH477374.1	111810	111810
CC131801_NDL.081L22:T7	chr3	3q24	CH477418.1	925344	925344
CC131794_NDL.081L22:SP6	chr3	3q24	CH477418.1	832395	832395
CC110426_NDL.025N11:T7	chr3	3q24 	CH477374.1	1040087	1040087
CC110421_NDL.025N11:SP6	chr3	3q24 	CH477374.1	936754	936754
CC129241_NDL.018N14:T7	chr3	3q25	CH477274.1	1765554	1765554
CC129236_NDL.018N14:SP6	chr3	3q25	CH477274.1	1676263	1676263
CC846726_NDL.008L17:T7	chr3	3q25	CH477278.1	522746	522746
CC846722_NDL.008L17:SP6	chr3	3q25	CH477278.1	603316	603316
CC848127_NDL.056P6:SP6	chr3	3q25	CH477497.1	218610	218610
CC136101_NDL.046H5:T7	chr3	3q25	CH477577.1	573319	573319
CC136096_NDL.046H5:SP6	chr3	3q25	CH477577.1	664878	664878
CC106679_NDL.072G23:T7	chr3	3q31	CH477274.1	1637598	1637598
CC106677_NDL.072G23:SP6	chr3	3q31	CH477274.1	1718479	1718479
CC133183_NDL.007B21:T7	chr3	3q31	CH477371.1	187659	187659
CC133177_NDL.007B21:SP6	chr3	3q31	CH477371.1	67327	67327
CC133051_NDL.034J9:T7	chr3	3q32	CH477328.1	429133	429133
CC133046_NDL.034J9:SP6	chr3	3q32	CH477328.1	344736	344736
CC865977_NDL.017L9:T7	chr3	3q32	CH477513.1	17489	17489
CC865974_NDL.017L9:SP6	chr3	3q32	CH477513.1	166497	166497
CC116032_NDL.051L10:T7	chr3	3q32* multiple signals 	CH477283.1	1389438	1389438
CC867467_NDL.021J9:T7	chr3	3q33	CH477249.1	963463	963463
CC867466_NDL.021J9:SP6	chr3	3q33	CH477249.1	894693	894693
CC871492_NDL.097J11:T7	chr3	3q33	CH477268.1	559813	559813
CC871489_NDL.097J11:SP6	chr3	3q33	CH477268.1	685834	685834
CC116137_NDL.034L3:T7	chr3	3q33	CH477300.1	1193492	1193492
CC116135_NDL.034L3:SP6	chr3	3q33	CH477300.1	1119816	1119816
CC129734_NDL.092A8:T7	chr3	3q34	CH477249.1	2541843	2541843
CC129732_NDL.092A8:SP6	chr3	3q34	CH477249.1	2425461	2425461
CC138832_NDL.019M6:T7	chr3	3q34	CH477271.1	2245287	2245287
BM005507_(LF323)_NDL.019M6:GM	chr3	3q34	CH477271.1	2296687	2296687
CC854507_NDL.008B14:T7	chr3	3q34	CH477402.1	482892	482892
AF324863_(RpL31)_NDL.008B14:GM	chr3	3q34	CH477402.1	418733	418733
CC844699_NDL.129P12:T7	chr3	3q37* CM chromosome 3	CH477358.1	1351074	1351074
CC844693_NDL.129P12:SP6	chr3	3q37* CM chromosome 3	CH477358.1	1475381	1475381
AF329892_(CYP9J2)_NDL.089M4:GM	chr3	3q41	CH477406.1	331123	331123
CC128374_NDL.079O19:T7	chr3	3q42	CH477343.1	1644264	1644264
CC128367_NDL.079O19:SP6	chr3	3q42	CH477343.1	1533214	1533214
CC864644_NDL.107P10:T7	chr3	3q42	CH477195.1	923347	923347
CC864638_NDL.107P10:SP6	chr3	3q42	CH477195.1	1023750	1023750
CC864644_NDL.107P10:T7	chr3	3q42	CH477195.1	923347	923347
CC864638_NDL.107P10:SP6	chr3	3q42	CH477195.1	1023750	1023750
CC867100_NDL.132J4:T7	chr3	3q42	CH477198.1	1597697	1597697
CC867094_NDL.132J4:SP6	chr3	3q42	CH477198.1	1497779	1497779
CC870363_NDL.120B20:T7	chr3	3q42	CH477204.1	1087410	1087410
CC870359_NDL.120B20:SP6	chr3	3q42	CH477204.1	988213	988213
CC139721_NDL.093N3:SP6	chr3	3q42	CH478013.1	363155	363155
CC110634_NDL.049I18:T7	chr3	3q42	CH477300.1	1054510	1054510
CC110630_NDL.049I18:SP6	chr3	3q42	CH477300.1	1188396	1188396
CC843467_NDL.125A19:T7	chr3	3q42	CH477472.1	250784	250784
CC843462_NDL.125A19:SP6	chr3	3q42	CH477472.1	322229	322229
CC111731_NDL.046I8:T7	chr3	3q42* 1p23^	CH477204.1	3013829	3013829
CC111728_NDL.046I8:SP6	chr3	3q42* 1p23^	CH477204.1	3088996	3088996
CC870885_NDL.100H16:T7	chr3	3q43	CH477198.1	3938193	3938193
CC870882_NDL.100H16:SP6	chr3	3q43	CH477198.1	4049858	4049858
CC863986_NDL.120E12:T7	chr3	3q43	CH477198.1	3938193	3938193
CC863981_NDL.120E12:SP6	chr3	3q43	CH477198.1	4049733	4049733
CC115355_NDL.065J18:T7	chr3	3q44	CH477192.1	2872889	2872889
CC115232_NDL.065J18:SP6	chr3	3q44	CH477192.1	2974115	2974115
CC859893_NDL.52J17:T7	chr3	3q44	CH477192.1	2949763	2949763
CC859889_NDL.52J17:SP6	chr3	3q44	CH477192.1	2862479	2862479
CC859265_NDL.090P20:T7	chr3	3q44	CH477195.1	3998978	3998978
CC859263_NDL.090P20:SP6	chr3	3q44	CH477195.1	4084822	4084822
BM005496_(LF377)_NDL.089F18:GM	chr3	3q44	CH477198.1	1138491	1138491
CC118985_NDL.089F18:SP6	chr3	3q44	CH477198.1	1015896	1015896
CC865050_NDL.090G13:T7	chr3	3q44	CH477198.1	1615338	1615338
CC865048_NDL.090G13:SP6	chr3	3q44	CH477198.1	1699543	1699543
CC123808_NDL.049L22:T7	chr3	3q44	CH477348.1	1312766	1312766
CC123802_NDL.049L22:SP6	chr3	3q44	CH477348.1	1221319	1221319
CC127324_NDL.001D5:T7	chr3	3q44	CH477386.1	811393	811393
CC127319_NDL.001D5:SP6	chr3	3q44	CH477386.1	929105	929105
CC869734_NDL.116G24:T7	chr3	3q44	CH477386.1	1261404	1261404
L12389_(Apy1)_NDL.116G24:GM	chr3	3q44	CH477386.1	1130189	1130189
CC869731_NDL.116G24:SP6	chr3	3q44	CH477386.1	1127611	1127611
CC139846_NDL.079L10:T7	chr3	3q44	CH477438.1	641686	641686
CC112378_NDL.079L10:SP6	chr3	3q44	CH477438.1	507349	507349
AY038043_(PABP)_NDL.008N7:GM	chr3	3q44	CH477655.1	100026	100026
CC863888_NDL.008N7:SP6	chr3	3q44	CH477655.1	225296	225296
CC118810_NDL.006D22:T7	chrM	Multiple signals	CH477341.1	519419	519419
CC132941_NDL.050N22:T7	chrM	Multiple signals	CH477423.1	181846	181846
CC132934_NDL.050N22:SP6	chrM	Multiple signals	CH477423.1	326459	326459
CC111594_NDL.006D5:T7	chrM	Multiple signals	CH477450.1	1284200	1284200
CC133399_NDL.016G5:T7	chrM	Multiple signals	CH477450.1	1288878	1288878
CC133395_NDL.016G5:SP6	chrM	Multiple signals	CH477450.1	1440902	1440902
CC124469_NDL.079B8:T7	chrM	Multiple signals	CH477531.1	543408	543408
CC124465_NDL.079B8:SP6	chrM	Multiple signals	CH477531.1	447734	447734
CC857226_NDL.100B21:T7	chrM	Multiple signals 	CH477446.1	1076048	1076048
CC857220_NDL.100B21:SP6	chrM	Multiple signals 	CH477446.1	1152301	1152301
CC117063_NDL.034M14:T7	chrN	No signal	CH477235.1	1058611	1058611
CC117059_NDL.034M14:SP6	chrN	No signal	CH477235.1	1102685	1102685
CC857183_NDL.109B20:T7	chrN	No signal	CH477449.1	1365114	1365114
CC857082_NDL.109B20:SP6	chrN	No signal	CH477449.1	1264170	1264170
CC856461_NDL.036F14:T7	chrU	Unmapped	CH477452.1	933933	933933
CC856456_NDL.036F14:SP6	chrU	Unmapped	CH477452.1	772023	772023
