Contig with marker, accession number	Linkage map chromosome (Juneja et al.)	Linkage map position, cM (Juneja et al.)	AaegL2 scaffold	Start position on AaegL2 scaffold	End position on AaegL2 scaffold
AAGE02009980.1	chr1	40.366	CH477375.1	1718985	1782497
AAGE02009981.1	chr1	40.366	CH477375.1	1782598	1824868
AAGE02009985.1	chr3	28.979	CH477376.1	1	73599
AAGE02009986.1	chr3	28.979	CH477376.1	76223	190818
AAGE02009992.1	chr3	28.979	CH477376.1	342033	434104
AAGE02009994.1	chr3	28.979	CH477376.1	491613	525905
AAGE02010005.1	chr3	28.979	CH477376.1	1108506	1277085
AAGE02010006.1	chr3	28.979	CH477376.1	1277372	1371828
AAGE02010007.1	chr3	28.979	CH477376.1	1371929	1409498
AAGE02010008.1	chr3	28.979	CH477376.1	1409600	1485532
AAGE02010025.1	chr1	21.535	CH477377.1	218122	442955
AAGE02010029.1	chr1	21.535	CH477377.1	522675	681544
AAGE02010031.1	chr1	21.535	CH477377.1	849210	890578
AAGE02010033.1	chr1	21.535	CH477377.1	976297	1113112
AAGE02010044.1	chr1	21.535	CH477377.1	1542459	1605028
AAGE02010057.1	chr3	33.231	CH477378.1	529282	681077
AAGE02010058.1	chr3	33.231	CH477378.1	681178	866614
AAGE02010066.1	chr3	33.231	CH477378.1	1292668	1309451
AAGE02010067.1	chr3	33.231	CH477378.1	1309552	1429183
AAGE02010070.1	chr3	33.231	CH477378.1	1524597	1702583
AAGE02010075.1	chr3	33.231	CH477378.1	1823963	1843383
AAGE02010076.1	chr3	33.231	CH477378.1	1843765	1854234
AAGE02010077.1	chr3	33.231	CH477378.1	1854447	1877301
AAGE02010109.1	chr2	29.911	CH477380.1	83751	137896
AAGE02010113.1	chr2	29.911	CH477380.1	211214	259191
AAGE02010116.1	chr2	29.911	CH477380.1	319752	396265
AAGE02010120.1	chr2	29.911	CH477380.1	522870	558613
AAGE02010127.1	chr2	29.911	CH477380.1	765149	859774
AAGE02010131.1	chr2	29.911	CH477380.1	916998	1070987
AAGE02010150.1	chr3	8.823	CH477381.1	8541	249412
AAGE02010153.1	chr3	8.823	CH477381.1	502831	651861
AAGE02010159.1	chr3	8.823	CH477381.1	895793	996862
AAGE02010161.1	chr3	8.823	CH477381.1	1029572	1078641
AAGE02010167.1	chr2	52.532	CH477381.1	1517576	1686975
AAGE02010171.1	chr2	52.532	CH477381.1	1831753	1853670
AAGE02010213.1	chr2	52.532	CH477383.1	884765	1105702
AAGE02010216.1	chr2	52.532	CH477383.1	1181055	1203666
AAGE02010217.1	chr2	52.532	CH477383.1	1203767	1404252
AAGE02010218.1	chr2	52.532	CH477383.1	1404353	1444152
AAGE02010219.1	chr2	52.532	CH477383.1	1459750	1516085
AAGE02010221.1	chr2	52.532	CH477383.1	1650539	1759201
AAGE02010231.1	chr1	21.535	CH477384.1	500345	544912
AAGE02010232.1	chr1	21.535	CH477384.1	545013	704076
AAGE02010233.1	chr1	21.535	CH477384.1	704422	791819
AAGE02010234.1	chr1	21.535	CH477384.1	792402	816871
AAGE02010241.1	chr1	21.535	CH477384.1	970964	1037002
AAGE02010305.1	chr2	49.629	CH477385.1	351209	410922
AAGE02010306.1	chr2	49.629	CH477385.1	411023	430343
AAGE02010307.1	chr2	49.629	CH477385.1	430578	462860
AAGE02010313.1	chr2	49.629	CH477385.1	767514	830268
AAGE02010433.1	chr2	73.499	CH477389.1	1489439	1583629
AAGE02010439.1	chr2	46.756	CH477389.1	1814926	1827752
AAGE02010561.1	chr2	90.996	CH477394.1	14461	159492
AAGE02010565.1	chr2	90.996	CH477394.1	380818	481494
AAGE02010571.1	chr2	90.996	CH477394.1	879260	1082680
AAGE02010572.1	chr2	90.996	CH477394.1	1083001	1281497
AAGE02010573.1	chr2	90.996	CH477394.1	1281598	1711441
AAGE02010588.1	chr2	38.175	CH477395.1	253549	336573
AAGE02010594.1	chr2	38.175	CH477395.1	543428	591086
AAGE02010603.1	chr2	38.175	CH477395.1	813435	854583
AAGE02010616.1	chr2	38.175	CH477395.1	1286860	1435923
AAGE02010618.1	chr2	38.175	CH477395.1	1505672	1581471
AAGE02010680.1	chr3	14.678	CH477396.1	1688763	1702179
AAGE02010682.1	chr3	14.678	CH477396.1	1819008	1879041
AAGE02010687.1	chr1	21.535	CH477397.1	144589	592091
AAGE02010689.1	chr1	21.535	CH477397.1	740613	899987
AAGE02010690.1	chr1	21.535	CH477397.1	900090	1040075
AAGE02010718.1	chr2	90.996	CH477398.1	303622	315816
AAGE02010724.1	chr2	90.996	CH477398.1	548836	624514
AAGE02010730.1	chr2	90.996	CH477398.1	796390	1254726
AAGE02010736.1	chr2	90.996	CH477398.1	1550811	1583115
AAGE02010739.1	chr2	90.996	CH477398.1	1685104	1750228
AAGE02010762.1	chr3	33.231	CH477399.1	1158312	1346506
AAGE02010785.1	chr3	33.231	CH477400.1	612125	752677
AAGE02010795.1	chr2	52.532	CH477400.1	1062226	1384901
AAGE02010800.1	chr2	52.532	CH477400.1	1529059	1542507
AAGE02010801.1	chr2	52.532	CH477400.1	1547296	1610477
AAGE02010823.1	chr2	55.421	CH477401.1	481993	559587
AAGE02010851.1	chr2	55.421	CH477401.1	1254737	1288576
AAGE02010910.1	chr1	21.535	CH477403.1	124397	390236
AAGE02010913.1	chr1	21.535	CH477403.1	450737	537866
AAGE02010924.1	chr1	21.535	CH477403.1	1171327	1237222
AAGE02010925.1	chr1	21.535	CH477403.1	1239960	1502374
AAGE02010948.1	chr2	43.896	CH477404.1	688393	775490
AAGE02010950.1	chr2	43.896	CH477404.1	819743	885336
AAGE02010972.1	chr2	43.896	CH477404.1	1706384	1777957
AAGE02011007.1	chr3	60.87	CH477406.1	155204	384044
AAGE02011033.1	chr1	0	CH477407.1	55025	213670
AAGE02011034.1	chr1	0	CH477407.1	213822	321904
AAGE02011046.1	chr1	12.537	CH477407.1	1087538	1239746
AAGE02011093.1	chr3	60.87	CH477409.1	95292	228412
AAGE02011094.1	chr3	60.87	CH477409.1	228678	413092
AAGE02011095.1	chr3	60.87	CH477409.1	415371	760026
AAGE02011100.1	chr3	60.87	CH477409.1	831983	897278
AAGE02011104.1	chr3	60.87	CH477409.1	1146430	1229893
AAGE02011106.1	chr3	60.87	CH477409.1	1237506	1530138
AAGE02011107.1	chr3	60.87	CH477409.1	1530702	1558739
AAGE02011123.1	chr2	8.657	CH477410.1	219631	287761
AAGE02011125.1	chr2	8.657	CH477410.1	294866	322510
AAGE02011126.1	chr2	8.657	CH477410.1	322725	358719
AAGE02011183.1	chr2	55.421	CH477411.1	328472	451027
AAGE02011188.1	chr2	55.421	CH477411.1	513701	519423
AAGE02011199.1	chr2	55.421	CH477411.1	1059111	1279100
AAGE02011214.1	chr3	33.231	CH477412.1	1	155540
AAGE02011227.1	chr3	33.231	CH477412.1	516959	686927
AAGE02011228.1	chr3	33.231	CH477412.1	694073	741247
AAGE02011233.1	chr3	33.231	CH477412.1	795170	914214
AAGE02011241.1	chr3	33.231	CH477412.1	1417010	1435984
AAGE02011243.1	chr3	33.231	CH477412.1	1489265	1699844
AAGE02011266.1	chr2	52.532	CH477413.1	384499	430810
AAGE02011278.1	chr3	60.87	CH477413.1	931476	1123210
AAGE02011281.1	chr3	60.87	CH477413.1	1390529	1508848
AAGE02011283.1	chr3	60.87	CH477413.1	1554820	1670770
AAGE02011293.1	chr2	49.629	CH477414.1	232177	244018
AAGE02011342.1	chr2	70.322	CH477415.1	128022	178335
AAGE02011344.1	chr2	70.322	CH477415.1	310274	503294
AAGE02011347.1	chr2	70.322	CH477415.1	558743	658038
AAGE02011360.1	chr2	52.532	CH477416.1	1	147884
AAGE02011364.1	chr2	52.532	CH477416.1	296286	325299
AAGE02011408.1	chr1	21.535	CH477417.1	922939	1082359
AAGE02011415.1	chr1	21.535	CH477417.1	1357326	1403018
AAGE02011418.1	chr1	21.535	CH477417.1	1448303	1473431
AAGE02011420.1	chr1	21.535	CH477417.1	1525779	1726976
AAGE02011482.1	chr1	21.535	CH477419.1	87020	104028
AAGE02011485.1	chr1	21.535	CH477419.1	120164	143697
AAGE02011514.1	chr1	21.535	CH477419.1	689777	733516
AAGE02011520.1	chr1	21.535	CH477419.1	1042488	1064372
AAGE02011535.1	chr1	21.535	CH477419.1	1657180	1716992
AAGE02011575.1	chr2	49.629	CH477420.1	1185778	1385697
AAGE02011589.1	chr2	49.629	CH477421.1	129324	171035
AAGE02011590.1	chr2	49.629	CH477421.1	171136	248332
AAGE02011595.1	chr2	49.629	CH477421.1	392327	462922
AAGE02011596.1	chr2	49.629	CH477421.1	481378	572071
AAGE02011618.1	chr2	49.629	CH477421.1	1349489	1503222
AAGE02011619.1	chr2	49.629	CH477421.1	1503323	1649375
AAGE02011628.1	chr2	52.532	CH477422.1	250555	328647
AAGE02011720.1	chr2	52.532	CH477423.1	1095877	1148091
AAGE02011721.1	chr2	52.532	CH477423.1	1148192	1214862
AAGE02011723.1	chr2	52.532	CH477423.1	1218693	1318315
AAGE02011731.1	chr2	73.499	CH477424.1	1	20998
AAGE02011733.1	chr2	73.499	CH477424.1	24134	110599
AAGE02011734.1	chr2	73.499	CH477424.1	110931	142545
AAGE02011736.1	chr2	73.499	CH477424.1	274035	827739
AAGE02011739.1	chr2	73.499	CH477424.1	875838	1160853
AAGE02011740.1	chr2	73.499	CH477424.1	1160954	1282231
AAGE02011741.1	chr2	73.499	CH477424.1	1282365	1341851
AAGE02011742.1	chr2	73.499	CH477424.1	1342003	1384981
AAGE02011746.1	chr2	73.499	CH477424.1	1491284	1498870
AAGE02011747.1	chr2	73.499	CH477424.1	1498971	1571985
AAGE02011748.1	chr2	73.499	CH477424.1	1572427	1627255
AAGE02011782.1	chr3	33.231	CH477425.1	927194	998567
AAGE02011783.1	chr3	33.231	CH477425.1	998668	1042239
AAGE02011785.1	chr3	33.231	CH477425.1	1050609	1148387
AAGE02011787.1	chr3	33.231	CH477425.1	1247402	1331979
AAGE02011791.1	chr3	33.231	CH477425.1	1663330	1768863
AAGE02011826.1	chr2	49.629	CH477426.1	940666	1022916
AAGE02011831.1	chr2	49.629	CH477426.1	1050825	1073261
AAGE02011857.1	chr2	55.421	CH477427.1	234005	275916
AAGE02011858.1	chr2	55.421	CH477427.1	276017	309133
AAGE02011867.1	chr2	55.421	CH477427.1	607029	644216
AAGE02011868.1	chr2	55.421	CH477427.1	645382	739316
AAGE02011871.1	chr2	55.421	CH477427.1	819100	836985
AAGE02011873.1	chr2	55.421	CH477427.1	842375	954384
AAGE02011874.1	chr2	55.421	CH477427.1	954485	1143364
AAGE02011882.1	chr2	55.421	CH477427.1	1435621	1526553
AAGE02011917.1	chr2	73.499	CH477429.1	1	12820
AAGE02011922.1	chr2	73.499	CH477429.1	351971	444752
AAGE02011925.1	chr2	73.499	CH477429.1	471747	529938
AAGE02011927.1	chr2	73.499	CH477429.1	552398	634266
AAGE02011928.1	chr2	73.499	CH477429.1	634367	710894
AAGE02011929.1	chr2	73.499	CH477429.1	712163	900962
AAGE02011930.1	chr2	73.499	CH477429.1	901834	949968
AAGE02011934.1	chr2	73.499	CH477429.1	1098981	1285483
AAGE02011935.1	chr2	73.499	CH477429.1	1285584	1410715
AAGE02011936.1	chr2	73.499	CH477429.1	1410816	1558308
AAGE02011937.1	chr2	73.499	CH477429.1	1560398	1603292
AAGE02011944.1	chr3	69.452	CH477430.1	60730	225739
AAGE02011946.1	chr3	69.452	CH477430.1	245628	538753
AAGE02011947.1	chr3	69.452	CH477430.1	538854	764980
AAGE02011950.1	chr3	69.452	CH477430.1	839646	887760
AAGE02011953.1	chr3	69.452	CH477430.1	911415	953383
AAGE02011954.1	chr3	69.452	CH477430.1	953598	997188
AAGE02011955.1	chr3	69.452	CH477430.1	997316	1178667
AAGE02011966.1	chr1	4.47	CH477430.1	1404803	1451364
AAGE02011978.1	chr2	55.421	CH477431.1	122379	197530
AAGE02011979.1	chr2	55.421	CH477431.1	201128	377868
AAGE02011980.1	chr2	55.421	CH477431.1	377969	415532
AAGE02011981.1	chr2	55.421	CH477431.1	415633	711672
AAGE02012006.1	chr3	33.231	CH477432.1	452717	638297
AAGE02012008.1	chr3	33.231	CH477432.1	687130	723772
AAGE02012016.1	chr3	33.231	CH477432.1	1222190	1298228
AAGE02012042.1	chr2	55.421	CH477433.1	568441	633371
AAGE02012151.1	chr3	33.231	CH477435.1	653089	1046941
AAGE02012157.1	chr3	33.231	CH477435.1	1346504	1470845
AAGE02012162.1	chr3	33.231	CH477435.1	1573046	1628417
AAGE02012174.1	chr2	52.532	CH477436.1	754545	810470
AAGE02012175.1	chr2	52.532	CH477436.1	810668	1212067
AAGE02012176.1	chr2	52.532	CH477436.1	1213155	1310419
AAGE02012187.1	chr1	34.336	CH477437.1	382342	475068
AAGE02012189.1	chr1	34.336	CH477437.1	505441	672846
AAGE02012220.1	chr1	4.47	CH477437.1	1520316	1544498
AAGE02012228.1	chr3	86.75	CH477438.1	185777	222874
AAGE02012234.1	chr3	90.093	CH477438.1	448991	1017346
AAGE02012235.1	chr3	90.093	CH477438.1	1017447	1153758
AAGE02012236.1	chr3	90.093	CH477438.1	1153859	1394174
AAGE02012286.1	chr2	49.629	CH477440.1	482812	495125
AAGE02012307.1	chr2	49.629	CH477440.1	878412	948107
AAGE02012311.1	chr2	49.629	CH477440.1	1022138	1081669
AAGE02012312.1	chr2	49.629	CH477440.1	1081770	1090286
AAGE02012313.1	chr2	49.629	CH477440.1	1090387	1302838
AAGE02012316.1	chr2	49.629	CH477440.1	1330296	1507853
AAGE02012365.1	chr2	38.175	CH477442.1	1100367	1199313
AAGE02012384.1	chr1	21.535	CH477443.1	133811	240545
AAGE02012397.1	chr1	21.535	CH477443.1	788853	942078
AAGE02012412.1	chr2	52.532	CH477444.1	1	240713
AAGE02012419.1	chr2	52.532	CH477444.1	684433	694632
AAGE02012420.1	chr2	52.532	CH477444.1	694733	771073
AAGE02012449.1	chr1	21.535	CH477445.1	1	77209
AAGE02012450.1	chr1	21.535	CH477445.1	77310	111948
AAGE02012460.1	chr1	21.535	CH477445.1	515328	711649
AAGE02012462.1	chr1	21.535	CH477445.1	915252	1017970
AAGE02012504.1	chr3	33.231	CH477446.1	1119038	1301601
AAGE02012505.1	chr3	33.231	CH477446.1	1301965	1416515
AAGE02012506.1	chr3	33.231	CH477446.1	1416635	1518845
AAGE02012531.1	chr2	55.421	CH477447.1	1237723	1266478
AAGE02012555.1	chr2	52.532	CH477448.1	238121	247953
AAGE02012556.1	chr2	52.532	CH477448.1	248054	447247
AAGE02012568.1	chr2	52.532	CH477448.1	710349	820409
AAGE02012570.1	chr2	52.532	CH477448.1	1051855	1073259
AAGE02012571.1	chr2	52.532	CH477448.1	1073360	1201630
AAGE02012573.1	chr2	52.532	CH477448.1	1215197	1422435
AAGE02012575.1	chr2	52.532	CH477448.1	1428108	1489368
AAGE02012587.1	chr1	21.535	CH477449.1	181645	268922
AAGE02012715.1	chr3	0	CH477451.1	1010692	1328262
AAGE02012731.1	chr1	0	CH477452.1	174558	350074
AAGE02012738.1	chr1	0	CH477452.1	840588	884614
AAGE02012744.1	chr1	0	CH477452.1	1012106	1094527
AAGE02012785.1	chr2	46.756	CH477453.1	676723	717906
AAGE02012794.1	chr2	46.756	CH477453.1	932605	1005152
AAGE02012802.1	chr2	46.756	CH477453.1	1167422	1236833
AAGE02012824.1	chr3	33.231	CH477454.1	293108	448699
AAGE02012831.1	chr3	33.231	CH477454.1	590114	629858
AAGE02012833.1	chr3	33.231	CH477454.1	651332	696917
AAGE02012846.1	chr2	65.871	CH477454.1	1246182	1423073
AAGE02012847.1	chr2	65.871	CH477454.1	1423174	1500516
AAGE02012866.1	chr1	21.535	CH477455.1	948633	1046976
AAGE02012867.1	chr1	21.535	CH477455.1	1047132	1265789
AAGE02012915.1	chr1	0	CH477457.1	883567	948637
AAGE02012916.1	chr1	0	CH477457.1	948971	1077121
AAGE02012918.1	chr1	0	CH477457.1	1217251	1480619
AAGE02012940.1	chr3	86.75	CH477458.1	1420758	1467671
AAGE02012946.1	chr2	52.532	CH477459.1	265671	371343
AAGE02012954.1	chr2	52.532	CH477459.1	449811	490640
AAGE02012968.1	chr2	52.532	CH477459.1	837230	975409
AAGE02012970.1	chr2	52.532	CH477459.1	979565	1124974
AAGE02013033.1	chr2	46.756	CH477462.1	232214	338783
AAGE02013038.1	chr2	46.756	CH477462.1	473488	505345
AAGE02013064.1	chr2	46.756	CH477462.1	809524	829796
AAGE02013158.1	chr2	52.532	CH477464.1	553409	655572
AAGE02013160.1	chr2	52.532	CH477464.1	772416	906428
AAGE02013189.1	chr3	33.231	CH477465.1	346210	407068
AAGE02013190.1	chr3	33.231	CH477465.1	407169	539548
AAGE02013191.1	chr3	33.231	CH477465.1	539649	631217
AAGE02013201.1	chr3	33.231	CH477465.1	1089723	1123766
AAGE02013203.1	chr3	33.231	CH477465.1	1139166	1206829
AAGE02013205.1	chr3	33.231	CH477465.1	1261871	1317516
AAGE02013212.1	chr1	45.369	CH477466.1	454478	799205
AAGE02013213.1	chr1	45.369	CH477466.1	799306	813895
AAGE02013219.1	chr1	45.369	CH477466.1	909986	1025345
AAGE02013222.1	chr1	45.369	CH477466.1	1183994	1245661
AAGE02013224.1	chr1	45.369	CH477466.1	1305138	1413287
AAGE02013225.1	chr1	45.369	CH477466.1	1413640	1451347
AAGE02013255.1	chr3	33.231	CH477468.1	173129	407171
AAGE02013260.1	chr3	33.231	CH477468.1	507844	647208
AAGE02013262.1	chr3	33.231	CH477468.1	681436	765477
AAGE02013268.1	chr3	33.231	CH477468.1	1137770	1408508
AAGE02013285.1	chr2	52.532	CH477469.1	419254	547490
AAGE02013286.1	chr2	52.532	CH477469.1	547591	602929
AAGE02013288.1	chr2	52.532	CH477469.1	607673	718529
AAGE02013290.1	chr2	52.532	CH477469.1	722004	926472
AAGE02013292.1	chr2	52.532	CH477469.1	951924	1241857
AAGE02013294.1	chr2	52.532	CH477469.1	1256740	1272299
AAGE02013300.1	chr2	52.532	CH477469.1	1385860	1446447
AAGE02013331.1	chr1	49.189	CH477470.1	1140566	1190363
AAGE02013347.1	chr2	90.996	CH477471.1	277413	539424
AAGE02013350.1	chr2	90.996	CH477471.1	561750	603618
AAGE02013359.1	chr3	66.591	CH477472.1	1	28469
AAGE02013362.1	chr3	66.591	CH477472.1	99958	334761
AAGE02013363.1	chr3	66.591	CH477472.1	334907	375786
AAGE02013366.1	chr3	66.591	CH477472.1	666002	796165
AAGE02013367.1	chr3	66.591	CH477472.1	796266	818652
AAGE02013369.1	chr3	66.591	CH477472.1	838412	885420
AAGE02013371.1	chr3	66.591	CH477472.1	917189	1013165
AAGE02013373.1	chr3	66.591	CH477472.1	1097691	1258756
AAGE02013375.1	chr3	66.591	CH477472.1	1284645	1412502
AAGE02013385.1	chr1	4.47	CH477473.1	65043	71461
AAGE02013387.1	chr1	4.47	CH477473.1	90984	165238
AAGE02013499.1	chr3	43.641	CH477475.1	207083	228921
AAGE02013513.1	chr3	26.119	CH477475.1	1072551	1220365
AAGE02013515.1	chr3	26.119	CH477475.1	1345887	1455837
AAGE02013527.1	chr2	21.697	CH477476.1	282724	407590
AAGE02013529.1	chr2	21.697	CH477476.1	451078	615850
AAGE02013537.1	chr2	58.962	CH477476.1	768483	799595
AAGE02013570.1	chr2	73.499	CH477477.1	500694	647763
AAGE02013572.1	chr2	73.499	CH477477.1	653979	747110
AAGE02013575.1	chr2	73.499	CH477477.1	847072	1311983
AAGE02013577.1	chr1	45.369	CH477478.1	1	111470
AAGE02013580.1	chr1	45.369	CH477478.1	128180	404155
AAGE02013591.1	chr2	15.163	CH477478.1	796406	881772
AAGE02013593.1	chr2	15.163	CH477478.1	961755	1019511
AAGE02013594.1	chr2	15.163	CH477478.1	1019612	1096680
AAGE02013596.1	chr2	15.163	CH477478.1	1110216	1293410
AAGE02013600.1	chr1	21.535	CH477479.1	1	17780
AAGE02013604.1	chr1	21.535	CH477479.1	102850	143231
AAGE02013606.1	chr1	21.535	CH477479.1	206465	321263
AAGE02013637.1	chr1	12.537	CH477480.1	589355	605202
AAGE02013647.1	chr1	12.537	CH477480.1	1067988	1242671
AAGE02013654.1	chr1	0	CH477481.1	312434	412190
AAGE02013655.1	chr1	0	CH477481.1	412291	540931
AAGE02013662.1	chr1	0	CH477481.1	697464	737281
AAGE02013667.1	chr1	0	CH477481.1	836638	968929
AAGE02013670.1	chr1	0	CH477481.1	1101352	1194451
AAGE02013671.1	chr1	0	CH477481.1	1194552	1349259
AAGE02013674.1	chr3	33.231	CH477482.1	8214	25013
AAGE02013675.1	chr3	33.231	CH477482.1	25371	97961
AAGE02013676.1	chr3	33.231	CH477482.1	98062	375643
AAGE02013678.1	chr3	33.231	CH477482.1	398155	502440
AAGE02013681.1	chr3	33.231	CH477482.1	667142	757052
AAGE02013697.1	chr3	28.979	CH477482.1	1302433	1400883
AAGE02013699.1	chr3	60.87	CH477483.1	20360	156067
AAGE02013700.1	chr3	60.87	CH477483.1	156168	181655
AAGE02013701.1	chr3	60.87	CH477483.1	181756	204247
AAGE02013725.1	chr2	52.532	CH477484.1	253728	301472
AAGE02013747.1	chr2	52.532	CH477484.1	958468	1062206
AAGE02013748.1	chr2	52.532	CH477484.1	1062484	1113801
AAGE02013781.1	chr1	4.47	CH477485.1	539710	563770
AAGE02013784.1	chr1	4.47	CH477485.1	601153	610597
AAGE02013785.1	chr1	4.47	CH477485.1	620112	651570
AAGE02013793.1	chr1	4.47	CH477485.1	743300	880421
AAGE02013794.1	chr1	4.47	CH477485.1	880522	919887
AAGE02013805.1	chr1	4.47	CH477485.1	1196078	1232176
AAGE02013811.1	chr1	4.47	CH477485.1	1334668	1423603
AAGE02013851.1	chr3	33.231	CH477487.1	476306	557500
AAGE02013852.1	chr3	33.231	CH477487.1	558925	581285
AAGE02013929.1	chr2	52.532	CH477490.1	341463	483811
AAGE02013932.1	chr2	52.532	CH477490.1	513118	647345
AAGE02013934.1	chr2	52.532	CH477490.1	696144	719500
AAGE02013936.1	chr2	52.532	CH477490.1	728011	827645
AAGE02013968.1	chr2	0	CH477491.1	1186737	1214774
AAGE02014029.1	chr1	21.535	CH477493.1	1	14288
AAGE02014037.1	chr1	21.535	CH477493.1	450974	589860
AAGE02014081.1	chr2	55.421	CH477494.1	1079906	1323415
AAGE02014103.1	chr3	33.231	CH477495.1	577714	735257
AAGE02014107.1	chr3	33.231	CH477495.1	813979	881193
AAGE02014115.1	chr2	52.532	CH477495.1	1395238	1509481
AAGE02014227.1	chr2	52.532	CH477499.1	1	14161
AAGE02014230.1	chr2	52.532	CH477499.1	30987	100867
AAGE02014234.1	chr2	52.532	CH477499.1	171442	257629
AAGE02014239.1	chr2	52.532	CH477499.1	500869	559697
AAGE02014241.1	chr2	52.532	CH477499.1	563100	658252
AAGE02014247.1	chr2	52.532	CH477499.1	949453	1147122
AAGE02014306.1	chr2	55.421	CH477502.1	31802	82432
AAGE02014307.1	chr2	55.421	CH477502.1	83680	159195
AAGE02014370.1	chr1	12.537	CH477503.1	251427	327454
AAGE02014377.1	chr1	12.537	CH477503.1	561224	735631
AAGE02014381.1	chr1	12.537	CH477503.1	855804	912592
AAGE02014387.1	chr2	21.697	CH477504.1	1	68236
AAGE02014388.1	chr2	21.697	CH477504.1	68436	633488
AAGE02014390.1	chr2	21.697	CH477504.1	678644	893131
AAGE02014391.1	chr2	21.697	CH477504.1	893318	979104
AAGE02014392.1	chr2	21.697	CH477504.1	979504	992151
AAGE02014394.1	chr2	21.697	CH477504.1	999604	1161627
AAGE02014395.1	chr2	21.697	CH477504.1	1161728	1236715
AAGE02014400.1	chr3	8.823	CH477505.1	1	97775
AAGE02014403.1	chr3	8.823	CH477505.1	364197	604536
AAGE02014404.1	chr3	8.823	CH477505.1	604637	635609
AAGE02014406.1	chr3	8.823	CH477505.1	762360	827224
AAGE02014407.1	chr3	8.823	CH477505.1	827325	1126907
AAGE02014465.1	chr1	21.535	CH477508.1	55412	366231
AAGE02014466.1	chr1	21.535	CH477508.1	366383	697674
AAGE02014473.1	chr1	21.535	CH477508.1	911851	944070
AAGE02014474.1	chr1	21.535	CH477508.1	944171	962599
AAGE02014475.1	chr1	21.535	CH477508.1	962700	992906
AAGE02014483.1	chr1	21.535	CH477508.1	1189052	1261127
AAGE02014518.1	chr2	46.756	CH477509.1	1148236	1243526
AAGE02014575.1	chr1	21.535	CH477511.1	552135	603261
AAGE02014587.1	chr1	21.535	CH477511.1	917186	975185
AAGE02014608.1	chr1	0	CH477512.1	461383	652352
AAGE02014609.1	chr1	0	CH477512.1	652453	725110
AAGE02014616.1	chr1	0	CH477512.1	979170	1104543
AAGE02014662.1	chr2	65.871	CH477514.1	108610	258295
AAGE02014664.1	chr2	65.871	CH477514.1	270559	501717
AAGE02014692.1	chr2	46.756	CH477515.1	224891	241057
AAGE02014694.1	chr2	46.756	CH477515.1	259449	304237
AAGE02014760.1	chr1	4.47	CH477516.1	80517	144413
AAGE02014761.1	chr1	4.47	CH477516.1	144514	203383
AAGE02014828.1	chr3	33.231	CH477518.1	697023	745083
AAGE02014829.1	chr3	33.231	CH477518.1	745184	821449
AAGE02014845.1	chr2	58.962	CH477519.1	257194	312570
AAGE02014854.1	chr2	58.962	CH477519.1	570251	652468
AAGE02014870.1	chr1	24.396	CH477520.1	208923	239386
AAGE02014873.1	chr1	24.396	CH477520.1	379490	525717
AAGE02014883.1	chr1	24.396	CH477520.1	937373	1004452
AAGE02014888.1	chr1	24.396	CH477520.1	1202785	1249862
AAGE02014914.1	chr2	85.257	CH477522.1	1	79436
AAGE02014915.1	chr2	85.257	CH477522.1	79537	110766
AAGE02014916.1	chr2	85.257	CH477522.1	110867	189605
AAGE02014956.1	chr2	52.532	CH477523.1	695445	1095811
AAGE02014958.1	chr2	52.532	CH477523.1	1153285	1244558
AAGE02014967.1	chr3	33.231	CH477524.1	355543	441859
AAGE02014968.1	chr3	33.231	CH477524.1	441960	508623
AAGE02014972.1	chr3	33.231	CH477524.1	713113	1035987
AAGE02014988.1	chr2	52.532	CH477525.1	318058	354296
AAGE02014989.1	chr2	52.532	CH477525.1	354801	413801
AAGE02014992.1	chr2	52.532	CH477525.1	464163	659305
AAGE02014993.1	chr2	52.532	CH477525.1	659784	673939
AAGE02014999.1	chr2	52.532	CH477525.1	822846	926764
AAGE02015000.1	chr2	52.532	CH477525.1	927573	1044992
AAGE02015002.1	chr2	52.532	CH477525.1	1082772	1175761
AAGE02015008.1	chr2	0	CH477526.1	34615	167835
AAGE02015018.1	chr2	0	CH477526.1	485945	636165
AAGE02015043.1	chr2	55.421	CH477527.1	124287	172773
AAGE02015058.1	chr2	55.421	CH477527.1	446461	483238
AAGE02015088.1	chr2	55.421	CH477527.1	1146940	1150463
AAGE02015092.1	chr2	55.421	CH477527.1	1241856	1261676
AAGE02015106.1	chr3	33.231	CH477528.1	403625	521789
AAGE02015108.1	chr3	33.231	CH477528.1	570345	653408
AAGE02015109.1	chr3	33.231	CH477528.1	653646	691081
AAGE02015111.1	chr3	33.231	CH477528.1	737748	798021
AAGE02015114.1	chr3	33.231	CH477528.1	836767	864388
AAGE02015158.1	chr3	40.78	CH477530.1	127421	299691
AAGE02015160.1	chr3	40.78	CH477530.1	444628	528479
AAGE02015195.1	chr1	21.535	CH477531.1	170258	177392
AAGE02015204.1	chr1	21.535	CH477531.1	437804	471668
AAGE02015212.1	chr1	21.535	CH477531.1	933124	1101991
AAGE02015228.1	chr3	57.985	CH477532.1	947394	1114674
AAGE02015276.1	chr3	33.231	CH477534.1	293110	539378
AAGE02015279.1	chr3	33.231	CH477534.1	585450	666261
AAGE02015284.1	chr3	33.231	CH477534.1	994300	1117977
AAGE02015288.1	chr3	33.231	CH477534.1	1185752	1200657
