CH477186.1 supercont1.1
CH478128.1 supercont1.944
CH478129.1 supercont1.945
CH478130.1 supercont1.946
CH478131.1 supercont1.947
CH478132.1 supercont1.948
CH478133.1 supercont1.949
CH478134.1 supercont1.950
CH478135.1 supercont1.951
CH478136.1 supercont1.952
CH478137.1 supercont1.953
CH478138.1 supercont1.954
CH478139.1 supercont1.955
CH478140.1 supercont1.956
CH478141.1 supercont1.957
CH478142.1 supercont1.958
CH478143.1 supercont1.959
CH478144.1 supercont1.960
CH478146.1 supercont1.962
CH478147.1 supercont1.963
CH478148.1 supercont1.964
CH478149.1 supercont1.965
CH478150.1 supercont1.966
CH478151.1 supercont1.967
CH478152.1 supercont1.968
CH478153.1 supercont1.969
CH477282.1 supercont1.97
CH478154.1 supercont1.970
CH478155.1 supercont1.971
CH478156.1 supercont1.972
CH478157.1 supercont1.973
CH478158.1 supercont1.974
CH478159.1 supercont1.975
CH478162.1 supercont1.978
CH478163.1 supercont1.979
CH477283.1 supercont1.98
CH478164.1 supercont1.980
CH478166.1 supercont1.982
CH478167.1 supercont1.983
CH478168.1 supercont1.984
CH478169.1 supercont1.985
CH478170.1 supercont1.986
CH478171.1 supercont1.987
CH478172.1 supercont1.988
CH478173.1 supercont1.989
CH478174.1 supercont1.990
CH478175.1 supercont1.991
CH478176.1 supercont1.992
CH478177.1 supercont1.993
CH478178.1 supercont1.994
CH478179.1 supercont1.995
CH478180.1 supercont1.996
CH478181.1 supercont1.997
CH478183.1 supercont1.999
CH901363.1 supercont1.3563
CH901252.1 supercont1.3452
CH899875.1 supercont1.1887
CH899876.1 supercont1.1888
CH899877.1 supercont1.1892
CH899878.1 supercont1.1893
CH899879.1 supercont1.1895
CH899880.1 supercont1.1896
CH899881.1 supercont1.1899
CH899882.1 supercont1.1900
CH899883.1 supercont1.1901
CH478999.1 supercont1.1904
CH479000.1 supercont1.1905
CH899884.1 supercont1.1906
CH899885.1 supercont1.1907
CH899886.1 supercont1.1908
CH479001.1 supercont1.1909
CH479002.1 supercont1.1910
CH899887.1 supercont1.1913
CH479006.1 supercont1.1915
CH899888.1 supercont1.1916
CH899889.1 supercont1.1917
CH899890.1 supercont1.1918
CH479007.1 supercont1.1919
CH899891.1 supercont1.1923
CH899892.1 supercont1.1925
CH899893.1 supercont1.1928
CH899894.1 supercont1.1932
CH479017.1 supercont1.1933
CH479018.1 supercont1.1934
CH899895.1 supercont1.1935
CH479021.1 supercont1.1938
CH899896.1 supercont1.1939
CH899897.1 supercont1.1941
CH479023.1 supercont1.1942
CH899898.1 supercont1.1943
CH479024.1 supercont1.1944
CH899899.1 supercont1.1945
CH479025.1 supercont1.1946
CH899900.1 supercont1.1947
CH899901.1 supercont1.1948
CH479027.1 supercont1.1950
CH479028.1 supercont1.1951
CH899902.1 supercont1.1952
CH899903.1 supercont1.1953
CH899904.1 supercont1.1955
CH899905.1 supercont1.1957
CH479031.1 supercont1.1958
CH899906.1 supercont1.1959
CH479032.1 supercont1.1960
CH479033.1 supercont1.1961
CH479037.1 supercont1.1965
CH899907.1 supercont1.1966
CH899908.1 supercont1.1967
CH899909.1 supercont1.1968
CH899910.1 supercont1.1969
CH899911.1 supercont1.1971
CH899912.1 supercont1.1973
CH899913.1 supercont1.1975
CH899914.1 supercont1.1976
CH899915.1 supercont1.1977
CH479042.1 supercont1.1979
CH479043.1 supercont1.1980
CH479044.1 supercont1.1981
CH479045.1 supercont1.1982
CH899916.1 supercont1.1984
CH479048.1 supercont1.1986
CH899917.1 supercont1.1988
CH899918.1 supercont1.1991
CH899919.1 supercont1.1992
CH479052.1 supercont1.1993
CH899920.1 supercont1.1994
CH899921.1 supercont1.1995
CH899922.1 supercont1.1997
CH899923.1 supercont1.1998
CH899924.1 supercont1.1999
CH479054.1 supercont1.2000
CH899925.1 supercont1.2001
CH899926.1 supercont1.2002
CH899927.1 supercont1.2003
CH479056.1 supercont1.2005
CH479057.1 supercont1.2006
CH899928.1 supercont1.2007
CH479058.1 supercont1.2008
CH479059.1 supercont1.2009
CH479060.1 supercont1.2010
CH899929.1 supercont1.2011
CH899930.1 supercont1.2012
CH479061.1 supercont1.2013
CH899931.1 supercont1.2014
CH899932.1 supercont1.2016
CH899933.1 supercont1.2017
CH899934.1 supercont1.2018
CH899935.1 supercont1.2019
CH899936.1 supercont1.2020
CH479064.1 supercont1.2022
CH899937.1 supercont1.2023
CH479066.1 supercont1.2025
CH899938.1 supercont1.2026
CH899939.1 supercont1.2027
CH899940.1 supercont1.2028
CH899941.1 supercont1.2029
CH899942.1 supercont1.2031
CH899943.1 supercont1.2032
CH899944.1 supercont1.2033
CH899945.1 supercont1.2034
CH899946.1 supercont1.2035
CH479068.1 supercont1.2036
CH479069.1 supercont1.2037
CH479070.1 supercont1.2038
CH899947.1 supercont1.2039
CH479071.1 supercont1.2040
CH479072.1 supercont1.2041
CH479073.1 supercont1.2042
CH479074.1 supercont1.2043
CH899948.1 supercont1.2044
CH899949.1 supercont1.2046
CH899950.1 supercont1.2048
CH899951.1 supercont1.2050
CH899952.1 supercont1.2051
CH899953.1 supercont1.2052
CH479078.1 supercont1.2053
CH899954.1 supercont1.2054
CH899955.1 supercont1.2055
CH899956.1 supercont1.2056
CH899957.1 supercont1.2057
CH899958.1 supercont1.2059
CH899959.1 supercont1.2060
CH899960.1 supercont1.2061
CH899961.1 supercont1.2062
CH899962.1 supercont1.2063
CH899963.1 supercont1.2064
CH479080.1 supercont1.2065
CH899964.1 supercont1.2066
CH899965.1 supercont1.2067
CH899966.1 supercont1.2068
CH899967.1 supercont1.2069
CH899968.1 supercont1.2070
CH899969.1 supercont1.2073
CH479085.1 supercont1.2076
CH899970.1 supercont1.2077
CH899971.1 supercont1.2079
CH479087.1 supercont1.2080
CH899972.1 supercont1.2081
CH479088.1 supercont1.2082
CH479089.1 supercont1.2083
CH899973.1 supercont1.2084
CH479090.1 supercont1.2085
CH899974.1 supercont1.2086
CH899975.1 supercont1.2087
CH899976.1 supercont1.2088
CH899977.1 supercont1.2089
CH899978.1 supercont1.2090
CH899979.1 supercont1.2092
CH899980.1 supercont1.2093
CH479092.1 supercont1.2094
CH479094.1 supercont1.2096
CH899981.1 supercont1.2097
CH479095.1 supercont1.2098
CH479096.1 supercont1.2099
CH899982.1 supercont1.2101
CH899983.1 supercont1.2102
CH479100.1 supercont1.2105
CH899984.1 supercont1.2106
CH899985.1 supercont1.2107
CH479101.1 supercont1.2108
CH899986.1 supercont1.2109
CH899987.1 supercont1.2110
CH479102.1 supercont1.2111
CH899988.1 supercont1.2112
CH899989.1 supercont1.2113
CH899990.1 supercont1.2114
CH899991.1 supercont1.2115
CH899992.1 supercont1.2116
CH899993.1 supercont1.2118
CH899994.1 supercont1.2119
CH899995.1 supercont1.2120
CH899996.1 supercont1.2122
CH479105.1 supercont1.2123
CH899997.1 supercont1.2125
CH899998.1 supercont1.2127
CH899999.1 supercont1.2128
CH900000.1 supercont1.2129
CH900001.1 supercont1.2130
CH900002.1 supercont1.2131
CH900003.1 supercont1.2133
CH900004.1 supercont1.2134
CH900005.1 supercont1.2135
CH900006.1 supercont1.2136
CH479109.1 supercont1.2137
CH900007.1 supercont1.2138
CH900008.1 supercont1.2139
CH900009.1 supercont1.2140
CH900010.1 supercont1.2141
CH900011.1 supercont1.2142
CH900012.1 supercont1.2143
CH900013.1 supercont1.2144
CH900014.1 supercont1.2145
CH900015.1 supercont1.2146
CH900016.1 supercont1.2148
CH900017.1 supercont1.2150
CH900018.1 supercont1.2151
CH479112.1 supercont1.2152
CH479113.1 supercont1.2153
CH479114.1 supercont1.2154
CH479115.1 supercont1.2155
CH900019.1 supercont1.2156
CH900020.1 supercont1.2158
CH900021.1 supercont1.2159
CH900022.1 supercont1.2160
CH900023.1 supercont1.2161
CH479117.1 supercont1.2162
CH900024.1 supercont1.2163
CH900025.1 supercont1.2165
CH900026.1 supercont1.2166
CH479119.1 supercont1.2167
CH900027.1 supercont1.2168
CH900028.1 supercont1.2169
CH900029.1 supercont1.2170
CH900030.1 supercont1.2171
CH900031.1 supercont1.2172
CH900032.1 supercont1.2174
CH900033.1 supercont1.2175
CH900034.1 supercont1.2176
CH479122.1 supercont1.2178
CH900035.1 supercont1.2179
CH900036.1 supercont1.2180
CH479123.1 supercont1.2181
CH900037.1 supercont1.2182
CH900038.1 supercont1.2183
CH900039.1 supercont1.2184
CH900040.1 supercont1.2185
CH900041.1 supercont1.2187
CH900042.1 supercont1.2189
CH479126.1 supercont1.2190
CH900043.1 supercont1.2191
CH900044.1 supercont1.2192
CH900045.1 supercont1.2193
CH900046.1 supercont1.2195
CH900047.1 supercont1.2197
CH900048.1 supercont1.2198
CH900049.1 supercont1.2199
CH900050.1 supercont1.2200
CH900051.1 supercont1.2201
CH900052.1 supercont1.2202
CH900053.1 supercont1.2203
CH900054.1 supercont1.2205
CH900055.1 supercont1.2207
CH900056.1 supercont1.2208
CH900057.1 supercont1.2209
CH900058.1 supercont1.2210
CH900059.1 supercont1.2212
CH900060.1 supercont1.2213
CH900061.1 supercont1.2214
CH900062.1 supercont1.2215
CH900063.1 supercont1.2216
CH479132.1 supercont1.2217
CH900064.1 supercont1.2219
CH900065.1 supercont1.2220
CH479134.1 supercont1.2221
CH900066.1 supercont1.2222
CH900067.1 supercont1.2223
CH900068.1 supercont1.2224
CH900069.1 supercont1.2225
CH900070.1 supercont1.2226
CH900071.1 supercont1.2227
CH479135.1 supercont1.2228
CH900072.1 supercont1.2229
CH900073.1 supercont1.2230
CH900074.1 supercont1.2231
CH900075.1 supercont1.2232
CH900076.1 supercont1.2233
CH900077.1 supercont1.2234
CH900078.1 supercont1.2235
CH900079.1 supercont1.2236
CH900080.1 supercont1.2237
CH900081.1 supercont1.2238
CH479136.1 supercont1.2239
CH900082.1 supercont1.2240
CH900083.1 supercont1.2241
CH900084.1 supercont1.2242
CH900085.1 supercont1.2243
CH900086.1 supercont1.2244
CH900087.1 supercont1.2245
CH900088.1 supercont1.2246
CH479137.1 supercont1.2247
CH900089.1 supercont1.2248
CH900090.1 supercont1.2249
CH900091.1 supercont1.2250
CH479138.1 supercont1.2251
CH900092.1 supercont1.2252
CH479139.1 supercont1.2253
CH900093.1 supercont1.2254
CH900094.1 supercont1.2255
CH900095.1 supercont1.2256
CH900096.1 supercont1.2257
CH900097.1 supercont1.2258
CH900098.1 supercont1.2259
CH900099.1 supercont1.2260
CH900100.1 supercont1.2261
CH900101.1 supercont1.2262
CH900102.1 supercont1.2263
CH900103.1 supercont1.2264
CH900104.1 supercont1.2265
CH900105.1 supercont1.2267
CH479141.1 supercont1.2268
CH900106.1 supercont1.2269
CH479142.1 supercont1.2270
CH900107.1 supercont1.2271
CH900108.1 supercont1.2272
CH900109.1 supercont1.2273
CH900110.1 supercont1.2274
CH900111.1 supercont1.2275
CH479143.1 supercont1.2276
CH479144.1 supercont1.2277
CH900112.1 supercont1.2278
CH900113.1 supercont1.2279
CH900114.1 supercont1.2280
CH479145.1 supercont1.2281
CH900115.1 supercont1.2283
CH479147.1 supercont1.2284
CH900116.1 supercont1.2285
CH900117.1 supercont1.2286
CH900118.1 supercont1.2287
CH900119.1 supercont1.2288
CH900120.1 supercont1.2289
CH900121.1 supercont1.2290
CH900122.1 supercont1.2291
CH479149.1 supercont1.2293
CH900123.1 supercont1.2294
CH900124.1 supercont1.2295
CH900125.1 supercont1.2296
CH900126.1 supercont1.2297
CH900127.1 supercont1.2298
CH900128.1 supercont1.2299
CH900129.1 supercont1.2301
CH900130.1 supercont1.2302
CH479151.1 supercont1.2303
CH900131.1 supercont1.2304
CH900132.1 supercont1.2305
CH900133.1 supercont1.2306
CH900134.1 supercont1.2307
CH900135.1 supercont1.2308
CH900136.1 supercont1.2309
CH900137.1 supercont1.2310
CH900138.1 supercont1.2311
CH900139.1 supercont1.2312
CH900140.1 supercont1.2313
CH900141.1 supercont1.2314
CH900142.1 supercont1.2315
CH900143.1 supercont1.2316
CH900144.1 supercont1.2317
CH900145.1 supercont1.2318
CH900146.1 supercont1.2319
CH900147.1 supercont1.2320
CH900148.1 supercont1.2321
CH479152.1 supercont1.2322
CH900149.1 supercont1.2323
CH900150.1 supercont1.2324
CH900151.1 supercont1.2325
CH900152.1 supercont1.2326
CH900153.1 supercont1.2327
CH900154.1 supercont1.2328
CH900155.1 supercont1.2329
CH900156.1 supercont1.2330
CH900157.1 supercont1.2331
CH900158.1 supercont1.2332
CH900159.1 supercont1.2333
CH900160.1 supercont1.2334
CH900161.1 supercont1.2335
CH900162.1 supercont1.2336
CH900163.1 supercont1.2337
CH900164.1 supercont1.2338
CH900165.1 supercont1.2339
CH900166.1 supercont1.2341
CH900167.1 supercont1.2342
CH900168.1 supercont1.2343
CH900169.1 supercont1.2344
CH900170.1 supercont1.2345
CH900171.1 supercont1.2347
CH900172.1 supercont1.2348
CH900173.1 supercont1.2349
CH900174.1 supercont1.2351
CH900175.1 supercont1.2352
CH900176.1 supercont1.2353
CH900177.1 supercont1.2354
CH900178.1 supercont1.2355
CH479156.1 supercont1.2356
CH900179.1 supercont1.2357
CH900180.1 supercont1.2358
CH900181.1 supercont1.2360
CH900182.1 supercont1.2361
CH900183.1 supercont1.2362
CH900184.1 supercont1.2363
CH900185.1 supercont1.2364
CH900186.1 supercont1.2365
CH900187.1 supercont1.2366
CH900188.1 supercont1.2367
CH479158.1 supercont1.2368
CH900189.1 supercont1.2369
CH900190.1 supercont1.2370
CH900191.1 supercont1.2371
CH900192.1 supercont1.2373
CH900193.1 supercont1.2374
CH900194.1 supercont1.2375
CH900195.1 supercont1.2376
CH479160.1 supercont1.2377
CH479161.1 supercont1.2378
CH479162.1 supercont1.2379
CH900196.1 supercont1.2380
CH900197.1 supercont1.2381
CH900198.1 supercont1.2382
CH900199.1 supercont1.2383
CH900200.1 supercont1.2384
CH900201.1 supercont1.2385
CH900202.1 supercont1.2386
CH900203.1 supercont1.2387
CH900204.1 supercont1.2388
CH900205.1 supercont1.2389
CH900206.1 supercont1.2390
CH900207.1 supercont1.2391
CH900208.1 supercont1.2392
CH900209.1 supercont1.2393
CH900210.1 supercont1.2394
CH479163.1 supercont1.2395
CH900211.1 supercont1.2396
CH900212.1 supercont1.2397
CH900213.1 supercont1.2398
CH900214.1 supercont1.2399
CH900215.1 supercont1.2400
CH900216.1 supercont1.2401
CH900217.1 supercont1.2402
CH900218.1 supercont1.2403
CH900219.1 supercont1.2404
CH900220.1 supercont1.2405
CH900221.1 supercont1.2406
CH900222.1 supercont1.2407
CH900223.1 supercont1.2408
CH900224.1 supercont1.2409
CH900225.1 supercont1.2410
CH900226.1 supercont1.2411
CH900227.1 supercont1.2412
CH900228.1 supercont1.2413
CH900229.1 supercont1.2414
CH479164.1 supercont1.2415
CH900230.1 supercont1.2416
CH900231.1 supercont1.2417
CH900232.1 supercont1.2418
CH900233.1 supercont1.2419
CH900234.1 supercont1.2420
CH900235.1 supercont1.2421
CH900236.1 supercont1.2422
CH900237.1 supercont1.2423
CH479166.1 supercont1.2425
CH900238.1 supercont1.2426
CH900239.1 supercont1.2427
CH900240.1 supercont1.2428
CH900241.1 supercont1.2429
CH900242.1 supercont1.2430
CH900243.1 supercont1.2431
CH900244.1 supercont1.2432
CH900245.1 supercont1.2433
CH900246.1 supercont1.2434
CH900247.1 supercont1.2435
CH900248.1 supercont1.2436
CH900249.1 supercont1.2437
CH900250.1 supercont1.2438
CH900251.1 supercont1.2439
CH900252.1 supercont1.2440
CH900253.1 supercont1.2441
CH479167.1 supercont1.2442
CH900254.1 supercont1.2443
CH900255.1 supercont1.2444
CH900256.1 supercont1.2445
CH900257.1 supercont1.2446
CH900258.1 supercont1.2447
CH900259.1 supercont1.2448
CH900260.1 supercont1.2449
CH900261.1 supercont1.2450
CH900262.1 supercont1.2451
CH900263.1 supercont1.2453
CH900264.1 supercont1.2454
CH900265.1 supercont1.2455
CH900266.1 supercont1.2456
CH900267.1 supercont1.2458
CH900268.1 supercont1.2459
CH900269.1 supercont1.2460
CH900270.1 supercont1.2461
CH900271.1 supercont1.2462
CH900272.1 supercont1.2463
CH900273.1 supercont1.2464
CH900274.1 supercont1.2465
CH900275.1 supercont1.2467
CH900276.1 supercont1.2468
CH900277.1 supercont1.2469
CH900278.1 supercont1.2470
CH900279.1 supercont1.2471
CH900280.1 supercont1.2472
CH900281.1 supercont1.2473
CH900282.1 supercont1.2474
CH900283.1 supercont1.2475
CH900284.1 supercont1.2476
CH900285.1 supercont1.2477
CH900286.1 supercont1.2478
CH900287.1 supercont1.2479
CH900288.1 supercont1.2480
CH900289.1 supercont1.2481
CH900290.1 supercont1.2482
CH900291.1 supercont1.2483
CH900292.1 supercont1.2484
CH900293.1 supercont1.2485
CH900294.1 supercont1.2486
CH900295.1 supercont1.2487
CH900296.1 supercont1.2488
CH900297.1 supercont1.2489
CH900298.1 supercont1.2490
CH900299.1 supercont1.2491
CH900300.1 supercont1.2492
CH900301.1 supercont1.2493
CH900302.1 supercont1.2494
CH900303.1 supercont1.2495
CH900304.1 supercont1.2496
CH900305.1 supercont1.2497
CH900306.1 supercont1.2498
CH900307.1 supercont1.2499
CH900308.1 supercont1.2500
CH900309.1 supercont1.2501
CH900310.1 supercont1.2502
CH900311.1 supercont1.2503
CH900312.1 supercont1.2504
CH900313.1 supercont1.2505
CH900314.1 supercont1.2506
CH479171.1 supercont1.2507
CH900315.1 supercont1.2508
CH900316.1 supercont1.2509
CH900317.1 supercont1.2510
CH900318.1 supercont1.2511
CH900319.1 supercont1.2512
CH900320.1 supercont1.2513
CH900321.1 supercont1.2514
CH900322.1 supercont1.2515
CH900323.1 supercont1.2516
CH900324.1 supercont1.2517
CH900325.1 supercont1.2518
CH900326.1 supercont1.2519
CH900327.1 supercont1.2520
CH900328.1 supercont1.2521
CH900329.1 supercont1.2522
CH900330.1 supercont1.2523
CH900331.1 supercont1.2524
CH900332.1 supercont1.2525
CH900333.1 supercont1.2526
CH900334.1 supercont1.2527
CH900335.1 supercont1.2528
CH900336.1 supercont1.2529
CH900337.1 supercont1.2530
CH900338.1 supercont1.2531
CH479172.1 supercont1.2532
CH900339.1 supercont1.2533
CH900340.1 supercont1.2534
CH900341.1 supercont1.2535
CH900342.1 supercont1.2536
CH900343.1 supercont1.2537
CH900344.1 supercont1.2538
CH900345.1 supercont1.2539
CH900346.1 supercont1.2540
CH900347.1 supercont1.2541
CH900348.1 supercont1.2542
CH900349.1 supercont1.2543
CH900350.1 supercont1.2544
CH900351.1 supercont1.2545
CH900352.1 supercont1.2546
CH900353.1 supercont1.2547
CH900354.1 supercont1.2548
CH900355.1 supercont1.2549
CH900356.1 supercont1.2550
CH900357.1 supercont1.2551
CH900358.1 supercont1.2552
CH900359.1 supercont1.2553
CH900360.1 supercont1.2554
CH900361.1 supercont1.2555
CH900362.1 supercont1.2556
CH900363.1 supercont1.2557
CH900364.1 supercont1.2558
CH900365.1 supercont1.2559
CH900366.1 supercont1.2560
CH900367.1 supercont1.2561
CH900368.1 supercont1.2562
CH900369.1 supercont1.2563
CH900370.1 supercont1.2564
CH900371.1 supercont1.2565
CH900372.1 supercont1.2567
CH900373.1 supercont1.2568
CH900374.1 supercont1.2569
CH900375.1 supercont1.2570
CH900376.1 supercont1.2571
CH900377.1 supercont1.2572
CH900378.1 supercont1.2573
CH900379.1 supercont1.2574
CH900380.1 supercont1.2575
CH900381.1 supercont1.2576
CH900382.1 supercont1.2577
CH900383.1 supercont1.2578
CH900384.1 supercont1.2579
CH900385.1 supercont1.2580
CH900386.1 supercont1.2582
CH900387.1 supercont1.2583
CH900388.1 supercont1.2584
CH900389.1 supercont1.2585
CH900390.1 supercont1.2586
CH900391.1 supercont1.2587
CH900392.1 supercont1.2588
CH900393.1 supercont1.2589
CH900394.1 supercont1.2590
CH900395.1 supercont1.2591
CH900396.1 supercont1.2592
CH900397.1 supercont1.2593
CH900398.1 supercont1.2594
CH900399.1 supercont1.2595
CH900400.1 supercont1.2596
CH900401.1 supercont1.2597
CH900402.1 supercont1.2598
CH900403.1 supercont1.2599
CH900404.1 supercont1.2600
CH900405.1 supercont1.2601
CH900406.1 supercont1.2602
CH900407.1 supercont1.2603
CH900408.1 supercont1.2604
CH900409.1 supercont1.2605
CH900410.1 supercont1.2606
CH900411.1 supercont1.2607
CH900412.1 supercont1.2608
CH900413.1 supercont1.2609
CH900414.1 supercont1.2610
CH900415.1 supercont1.2611
CH900416.1 supercont1.2612
CH900417.1 supercont1.2613
CH900418.1 supercont1.2614
CH900419.1 supercont1.2615
CH900420.1 supercont1.2616
CH479175.1 supercont1.2617
CH900421.1 supercont1.2618
CH900422.1 supercont1.2619
CH900423.1 supercont1.2620
CH900424.1 supercont1.2621
CH900425.1 supercont1.2622
CH900426.1 supercont1.2623
CH900427.1 supercont1.2624
CH900428.1 supercont1.2625
CH900429.1 supercont1.2626
CH900430.1 supercont1.2627
CH900431.1 supercont1.2628
CH900432.1 supercont1.2629
CH900433.1 supercont1.2630
CH900434.1 supercont1.2631
CH900435.1 supercont1.2632
CH900436.1 supercont1.2633
CH900437.1 supercont1.2634
CH900438.1 supercont1.2635
CH900439.1 supercont1.2636
CH900440.1 supercont1.2637
CH900441.1 supercont1.2638
CH900442.1 supercont1.2639
CH900443.1 supercont1.2640
CH900444.1 supercont1.2641
CH900445.1 supercont1.2642
CH900446.1 supercont1.2643
CH900447.1 supercont1.2644
CH900448.1 supercont1.2645
CH900449.1 supercont1.2646
CH900450.1 supercont1.2647
CH900451.1 supercont1.2648
CH900452.1 supercont1.2649
CH900453.1 supercont1.2650
CH900454.1 supercont1.2651
CH900455.1 supercont1.2652
CH900456.1 supercont1.2653
CH900457.1 supercont1.2654
CH900458.1 supercont1.2656
CH900459.1 supercont1.2657
CH900460.1 supercont1.2658
CH900461.1 supercont1.2659
CH900462.1 supercont1.2660
CH900463.1 supercont1.2661
CH900464.1 supercont1.2662
CH900465.1 supercont1.2663
CH900466.1 supercont1.2664
CH900467.1 supercont1.2665
CH900468.1 supercont1.2666
CH900469.1 supercont1.2667
CH900470.1 supercont1.2668
CH900471.1 supercont1.2669
CH900472.1 supercont1.2670
CH900473.1 supercont1.2671
CH900474.1 supercont1.2672
CH900475.1 supercont1.2673
CH900476.1 supercont1.2674
CH900477.1 supercont1.2675
CH900478.1 supercont1.2676
CH900479.1 supercont1.2677
CH900480.1 supercont1.2678
CH900481.1 supercont1.2679
CH900482.1 supercont1.2680
CH900483.1 supercont1.2681
CH900484.1 supercont1.2682
CH900485.1 supercont1.2683
CH900486.1 supercont1.2684
CH900487.1 supercont1.2685
CH900488.1 supercont1.2686
CH900489.1 supercont1.2687
CH900490.1 supercont1.2688
CH900491.1 supercont1.2689
CH479177.1 supercont1.2690
CH900492.1 supercont1.2691
CH900493.1 supercont1.2692
CH900494.1 supercont1.2693
CH900495.1 supercont1.2694
CH900496.1 supercont1.2695
CH900497.1 supercont1.2696
CH900498.1 supercont1.2697
CH900499.1 supercont1.2698
CH900500.1 supercont1.2699
CH900501.1 supercont1.2700
CH900502.1 supercont1.2701
CH900503.1 supercont1.2702
CH900504.1 supercont1.2703
CH900505.1 supercont1.2704
CH900506.1 supercont1.2705
CH900507.1 supercont1.2706
CH900508.1 supercont1.2707
CH900509.1 supercont1.2708
CH900510.1 supercont1.2709
CH900511.1 supercont1.2710
CH900512.1 supercont1.2711
CH900513.1 supercont1.2712
CH900514.1 supercont1.2713
CH900515.1 supercont1.2714
CH900516.1 supercont1.2715
CH900517.1 supercont1.2716
CH900518.1 supercont1.2717
CH900519.1 supercont1.2718
CH900520.1 supercont1.2719
CH900521.1 supercont1.2720
CH900522.1 supercont1.2721
CH900523.1 supercont1.2722
CH900524.1 supercont1.2723
CH900525.1 supercont1.2724
CH900526.1 supercont1.2725
CH900527.1 supercont1.2726
CH900528.1 supercont1.2727
CH900529.1 supercont1.2728
CH900530.1 supercont1.2729
CH900531.1 supercont1.2730
CH900532.1 supercont1.2731
CH900533.1 supercont1.2732
CH900534.1 supercont1.2733
CH900535.1 supercont1.2734
CH900536.1 supercont1.2735
CH900537.1 supercont1.2736
CH900538.1 supercont1.2737
CH900539.1 supercont1.2738
CH900540.1 supercont1.2739
CH900541.1 supercont1.2740
CH900542.1 supercont1.2741
CH900543.1 supercont1.2742
CH900544.1 supercont1.2743
CH900545.1 supercont1.2744
CH900546.1 supercont1.2745
CH900547.1 supercont1.2746
CH900548.1 supercont1.2747
CH900549.1 supercont1.2748
CH900550.1 supercont1.2749
CH900551.1 supercont1.2750
CH900552.1 supercont1.2751
CH900553.1 supercont1.2752
CH900554.1 supercont1.2753
CH900555.1 supercont1.2754
CH900556.1 supercont1.2755
CH900557.1 supercont1.2756
CH900558.1 supercont1.2757
CH900559.1 supercont1.2758
CH900560.1 supercont1.2759
CH900561.1 supercont1.2760
CH900562.1 supercont1.2761
CH900563.1 supercont1.2762
CH900564.1 supercont1.2763
CH900565.1 supercont1.2765
CH900566.1 supercont1.2766
CH900567.1 supercont1.2767
CH900568.1 supercont1.2768
CH900569.1 supercont1.2769
CH900570.1 supercont1.2770
CH900571.1 supercont1.2771
CH900572.1 supercont1.2772
CH900573.1 supercont1.2773
CH900574.1 supercont1.2774
CH900575.1 supercont1.2775
CH900576.1 supercont1.2776
CH900577.1 supercont1.2777
CH900578.1 supercont1.2778
CH900579.1 supercont1.2779
CH900580.1 supercont1.2780
CH900581.1 supercont1.2781
CH900582.1 supercont1.2782
CH900583.1 supercont1.2783
CH900584.1 supercont1.2784
CH900585.1 supercont1.2785
CH900586.1 supercont1.2786
CH900587.1 supercont1.2787
CH900588.1 supercont1.2788
CH900589.1 supercont1.2789
CH900590.1 supercont1.2790
CH900591.1 supercont1.2791
CH900592.1 supercont1.2792
CH900593.1 supercont1.2793
CH900594.1 supercont1.2794
CH900595.1 supercont1.2795
CH900596.1 supercont1.2796
CH900597.1 supercont1.2797
CH900598.1 supercont1.2798
CH900599.1 supercont1.2799
CH900600.1 supercont1.2800
CH900601.1 supercont1.2801
CH900602.1 supercont1.2802
CH900603.1 supercont1.2803
CH900604.1 supercont1.2804
CH900605.1 supercont1.2805
CH900606.1 supercont1.2806
CH900607.1 supercont1.2807
CH900608.1 supercont1.2808
CH900609.1 supercont1.2809
CH900610.1 supercont1.2810
CH900611.1 supercont1.2811
CH900612.1 supercont1.2812
CH900613.1 supercont1.2813
CH900614.1 supercont1.2814
CH900615.1 supercont1.2815
CH900616.1 supercont1.2816
CH900617.1 supercont1.2817
CH900618.1 supercont1.2818
CH900619.1 supercont1.2819
CH900620.1 supercont1.2820
CH900621.1 supercont1.2821
CH900622.1 supercont1.2822
CH900623.1 supercont1.2823
CH900624.1 supercont1.2824
CH900625.1 supercont1.2825
CH900626.1 supercont1.2826
CH900627.1 supercont1.2827
CH900628.1 supercont1.2828
CH900629.1 supercont1.2829
CH900630.1 supercont1.2830
CH900631.1 supercont1.2831
CH900632.1 supercont1.2832
CH900633.1 supercont1.2833
CH900634.1 supercont1.2834
CH900635.1 supercont1.2835
CH900636.1 supercont1.2836
CH900637.1 supercont1.2837
CH900638.1 supercont1.2838
CH900639.1 supercont1.2839
CH900640.1 supercont1.2840
CH900641.1 supercont1.2841
CH900642.1 supercont1.2842
CH900643.1 supercont1.2843
CH900644.1 supercont1.2844
CH900645.1 supercont1.2845
CH900646.1 supercont1.2846
CH900647.1 supercont1.2847
CH900648.1 supercont1.2848
CH900649.1 supercont1.2849
CH900650.1 supercont1.2850
CH900651.1 supercont1.2851
CH900652.1 supercont1.2852
CH900653.1 supercont1.2853
CH900654.1 supercont1.2854
CH900655.1 supercont1.2855
CH900656.1 supercont1.2856
CH900657.1 supercont1.2857
CH900658.1 supercont1.2858
CH900659.1 supercont1.2859
CH900660.1 supercont1.2860
